beat_order,merged_sample_index,merged_milliseconds,merged_timestamp,source,primary_lead,primary_alias,window_index,window_start,window_end,selection_reason,selected_quality_label,selected_quality_score
1,209,1045.0,2022-12-12 15:34:14.045000,ECG_CH1-selected,ECG_CH1,V5,0,2022-12-12 15:34:13,2022-12-12 15:34:28,higher_quality_v5,Barely acceptable,1
2,343,1715.0,2022-12-12 15:34:14.715000,ECG_CH1-selected,ECG_CH1,V5,0,2022-12-12 15:34:13,2022-12-12 15:34:28,higher_quality_v5,Barely acceptable,1
3,472,2360.0,2022-12-12 15:34:15.360000,ECG_CH1-selected,ECG_CH1,V5,0,2022-12-12 15:34:13,2022-12-12 15:34:28,higher_quality_v5,Barely acceptable,1
4,601,3005.0,2022-12-12 15:34:16.005000,ECG_CH1-selected,ECG_CH1,V5,0,2022-12-12 15:34:13,2022-12-12 15:34:28,higher_quality_v5,Barely acceptable,1
5,731,3655.0,2022-12-12 15:34:16.655000,ECG_CH1-selected,ECG_CH1,V5,0,2022-12-12 15:34:13,2022-12-12 15:34:28,higher_quality_v5,Barely acceptable,1
6,858,4290.0,2022-12-12 15:34:17.290000,ECG_CH1-selected,ECG_CH1,V5,0,2022-12-12 15:34:13,2022-12-12 15:34:28,higher_quality_v5,Barely acceptable,1
7,983,4915.0,2022-12-12 15:34:17.915000,ECG_CH1-selected,ECG_CH1,V5,0,2022-12-12 15:34:13,2022-12-12 15:34:28,higher_quality_v5,Barely acceptable,1
8,1108,5540.0,2022-12-12 15:34:18.540000,ECG_CH1-selected,ECG_CH1,V5,0,2022-12-12 15:34:13,2022-12-12 15:34:28,higher_quality_v5,Barely acceptable,1
9,1233,6165.0,2022-12-12 15:34:19.165000,ECG_CH1-selected,ECG_CH1,V5,0,2022-12-12 15:34:13,2022-12-12 15:34:28,higher_quality_v5,Barely acceptable,1
10,1361,6805.0,2022-12-12 15:34:19.805000,ECG_CH1-selected,ECG_CH1,V5,0,2022-12-12 15:34:13,2022-12-12 15:34:28,higher_quality_v5,Barely acceptable,1
11,1490,7450.0,2022-12-12 15:34:20.450000,ECG_CH1-selected,ECG_CH1,V5,0,2022-12-12 15:34:13,2022-12-12 15:34:28,higher_quality_v5,Barely acceptable,1
12,1616,8080.0,2022-12-12 15:34:21.080000,ECG_CH1-selected,ECG_CH1,V5,0,2022-12-12 15:34:13,2022-12-12 15:34:28,higher_quality_v5,Barely acceptable,1
13,1740,8700.0,2022-12-12 15:34:21.700000,ECG_CH1-selected,ECG_CH1,V5,0,2022-12-12 15:34:13,2022-12-12 15:34:28,higher_quality_v5,Barely acceptable,1
14,1863,9315.0,2022-12-12 15:34:22.315000,ECG_CH1-selected,ECG_CH1,V5,0,2022-12-12 15:34:13,2022-12-12 15:34:28,higher_quality_v5,Barely acceptable,1
15,1988,9940.0,2022-12-12 15:34:22.940000,ECG_CH1-selected,ECG_CH1,V5,0,2022-12-12 15:34:13,2022-12-12 15:34:28,higher_quality_v5,Barely acceptable,1
16,2114,10570.0,2022-12-12 15:34:23.570000,ECG_CH1-selected,ECG_CH1,V5,0,2022-12-12 15:34:13,2022-12-12 15:34:28,higher_quality_v5,Barely acceptable,1
17,2242,11210.0,2022-12-12 15:34:24.210000,ECG_CH1-selected,ECG_CH1,V5,0,2022-12-12 15:34:13,2022-12-12 15:34:28,higher_quality_v5,Barely acceptable,1
18,2374,11870.0,2022-12-12 15:34:24.870000,ECG_CH1-selected,ECG_CH1,V5,0,2022-12-12 15:34:13,2022-12-12 15:34:28,higher_quality_v5,Barely acceptable,1
19,2505,12525.0,2022-12-12 15:34:25.525000,ECG_CH1-selected,ECG_CH1,V5,0,2022-12-12 15:34:13,2022-12-12 15:34:28,higher_quality_v5,Barely acceptable,1
20,2634,13170.0,2022-12-12 15:34:26.170000,ECG_CH1-selected,ECG_CH1,V5,0,2022-12-12 15:34:13,2022-12-12 15:34:28,higher_quality_v5,Barely acceptable,1
21,2760,13800.0,2022-12-12 15:34:26.800000,ECG_CH1-selected,ECG_CH1,V5,0,2022-12-12 15:34:13,2022-12-12 15:34:28,higher_quality_v5,Barely acceptable,1
22,2888,14440.0,2022-12-12 15:34:27.440000,ECG_CH1-selected,ECG_CH1,V5,0,2022-12-12 15:34:13,2022-12-12 15:34:28,higher_quality_v5,Barely acceptable,1
23,3016,15080.0,2022-12-12 15:34:28.080000,ECG_CH1-selected,ECG_CH1,V5,1,2022-12-12 15:34:28,2022-12-12 15:34:43,higher_quality_v5,Excellent,2
24,3143,15715.0,2022-12-12 15:34:28.715000,ECG_CH1-selected,ECG_CH1,V5,1,2022-12-12 15:34:28,2022-12-12 15:34:43,higher_quality_v5,Excellent,2
