window_index,window_start,window_end,window_status,selection_reason,selected_lead,selected_alias,selected_quality_label,selected_quality_score,v5_lead,v5_quality_label,v5_quality_score,v1_lead,v1_quality_label,v1_quality_score,v5_peak_count,v1_peak_count,selected_peak_count,discarded_peak_count
0,2022-12-12 15:34:13,2022-12-12 15:34:28,valid,higher_quality_v5,ECG_CH1,V5,Barely acceptable,1,ECG_CH1,Barely acceptable,1,ECG_CH3,Unacceptable,0,22,0,22,0
1,2022-12-12 15:34:28,2022-12-12 15:34:43,valid,higher_quality_v5,ECG_CH1,V5,Excellent,2,ECG_CH1,Excellent,2,ECG_CH3,Barely acceptable,1,23,12,23,12
2,2022-12-12 15:34:43,2022-12-12 15:34:58,valid,higher_quality_v5,ECG_CH1,V5,Excellent,2,ECG_CH1,Excellent,2,ECG_CH3,Unacceptable,0,23,24,23,24
3,2022-12-12 15:34:58,2022-12-12 15:35:13,valid,higher_quality_v5,ECG_CH1,V5,Barely acceptable,1,ECG_CH1,Barely acceptable,1,ECG_CH3,Unacceptable,0,25,24,25,24
4,2022-12-12 15:35:13,2022-12-12 15:35:28,valid,higher_quality_v1,ECG_CH3,V1,Excellent,2,ECG_CH1,Barely acceptable,1,ECG_CH3,Excellent,2,24,24,24,24
5,2022-12-12 15:35:28,2022-12-12 15:35:43,valid,tie_prefer_v5,ECG_CH1,V5,Barely acceptable,1,ECG_CH1,Barely acceptable,1,ECG_CH3,Barely acceptable,1,25,25,25,25
6,2022-12-12 15:35:43,2022-12-12 15:35:58,valid,tie_prefer_v5,ECG_CH1,V5,Barely acceptable,1,ECG_CH1,Barely acceptable,1,ECG_CH3,Barely acceptable,1,24,24,24,24
7,2022-12-12 15:35:58,2022-12-12 15:36:13,valid,higher_quality_v5,ECG_CH1,V5,Barely acceptable,1,ECG_CH1,Barely acceptable,1,ECG_CH3,Unacceptable,0,24,24,24,24
8,2022-12-12 15:36:13,2022-12-12 15:36:28,valid,tie_prefer_v5,ECG_CH1,V5,Barely acceptable,1,ECG_CH1,Barely acceptable,1,ECG_CH3,Barely acceptable,1,22,22,22,22
9,2022-12-12 15:36:28,2022-12-12 15:36:43,valid,tie_prefer_v5,ECG_CH1,V5,Barely acceptable,1,ECG_CH1,Barely acceptable,1,ECG_CH3,Barely acceptable,1,22,22,22,22
10,2022-12-12 15:36:43,2022-12-12 15:36:58,valid,tie_prefer_v5,ECG_CH1,V5,Barely acceptable,1,ECG_CH1,Barely acceptable,1,ECG_CH3,Barely acceptable,1,23,23,23,23
11,2022-12-12 15:36:58,2022-12-12 15:37:13,valid,higher_quality_v5,ECG_CH1,V5,Excellent,2,ECG_CH1,Excellent,2,ECG_CH3,Barely acceptable,1,24,24,24,24
12,2022-12-12 15:37:13,2022-12-12 15:37:28,valid,tie_prefer_v5,ECG_CH1,V5,Barely acceptable,1,ECG_CH1,Barely acceptable,1,ECG_CH3,Barely acceptable,1,24,24,24,24
13,2022-12-12 15:37:28,2022-12-12 15:37:43,valid,higher_quality_v5,ECG_CH1,V5,Excellent,2,ECG_CH1,Excellent,2,ECG_CH3,Unacceptable,0,24,24,24,24
14,2022-12-12 15:37:43,2022-12-12 15:37:58,valid,tie_prefer_v5,ECG_CH1,V5,Barely acceptable,1,ECG_CH1,Barely acceptable,1,ECG_CH3,Barely acceptable,1,26,26,26,26
15,2022-12-12 15:37:58,2022-12-12 15:38:13,valid,higher_quality_v5,ECG_CH1,V5,Excellent,2,ECG_CH1,Excellent,2,ECG_CH3,Barely acceptable,1,25,25,25,25
16,2022-12-12 15:38:13,2022-12-12 15:38:28,valid,higher_quality_v1,ECG_CH3,V1,Excellent,2,ECG_CH1,Barely acceptable,1,ECG_CH3,Excellent,2,25,25,25,25
17,2022-12-12 15:38:28,2022-12-12 15:38:43,valid,higher_quality_v1,ECG_CH3,V1,Excellent,2,ECG_CH1,Barely acceptable,1,ECG_CH3,Excellent,2,25,25,25,25
18,2022-12-12 15:38:43,2022-12-12 15:38:58,valid,tie_prefer_v5,ECG_CH1,V5,Excellent,2,ECG_CH1,Excellent,2,ECG_CH3,Excellent,2,23,23,23,23
19,2022-12-12 15:38:58,2022-12-12 15:39:13,valid,higher_quality_v5,ECG_CH1,V5,Excellent,2,ECG_CH1,Excellent,2,ECG_CH3,Barely acceptable,1,24,24,24,24
20,2022-12-12 15:39:13,2022-12-12 15:39:28,valid,higher_quality_v1,ECG_CH3,V1,Excellent,2,ECG_CH1,Barely acceptable,1,ECG_CH3,Excellent,2,23,23,23,23
21,2022-12-12 15:39:28,2022-12-12 15:39:43,valid,higher_quality_v5,ECG_CH1,V5,Excellent,2,ECG_CH1,Excellent,2,ECG_CH3,Barely acceptable,1,24,24,24,24
22,2022-12-12 15:39:43,2022-12-12 15:39:58,valid,tie_prefer_v5,ECG_CH1,V5,Excellent,2,ECG_CH1,Excellent,2,ECG_CH3,Excellent,2,23,23,23,23
23,2022-12-12 15:39:58,2022-12-12 15:40:13,valid,higher_quality_v5,ECG_CH1,V5,Excellent,2,ECG_CH1,Excellent,2,ECG_CH3,Barely acceptable,1,22,22,22,22
24,2022-12-12 15:40:13,2022-12-12 15:40:28,valid,higher_quality_v5,ECG_CH1,V5,Excellent,2,ECG_CH1,Excellent,2,ECG_CH3,Barely acceptable,1,22,22,22,22
25,2022-12-12 15:40:28,2022-12-12 15:40:43,valid,higher_quality_v5,ECG_CH1,V5,Excellent,2,ECG_CH1,Excellent,2,ECG_CH3,Barely acceptable,1,21,21,21,21
26,2022-12-12 15:40:43,2022-12-12 15:40:58,valid,higher_quality_v5,ECG_CH1,V5,Excellent,2,ECG_CH1,Excellent,2,ECG_CH3,Barely acceptable,1,22,22,22,22
27,2022-12-12 15:40:58,2022-12-12 15:41:13,valid,higher_quality_v5,ECG_CH1,V5,Excellent,2,ECG_CH1,Excellent,2,ECG_CH3,Barely acceptable,1,21,21,21,21
28,2022-12-12 15:41:13,2022-12-12 15:41:28,valid,higher_quality_v5,ECG_CH1,V5,Excellent,2,ECG_CH1,Excellent,2,ECG_CH3,Barely acceptable,1,22,22,22,22
29,2022-12-12 15:41:28,2022-12-12 15:41:43,valid,higher_quality_v5,ECG_CH1,V5,Excellent,2,ECG_CH1,Excellent,2,ECG_CH3,Barely acceptable,1,22,22,22,22
30,2022-12-12 15:41:43,2022-12-12 15:41:58,valid,higher_quality_v5,ECG_CH1,V5,Excellent,2,ECG_CH1,Excellent,2,ECG_CH3,Barely acceptable,1,20,20,20,20
31,2022-12-12 15:41:58,2022-12-12 15:42:13,valid,higher_quality_v5,ECG_CH1,V5,Excellent,2,ECG_CH1,Excellent,2,ECG_CH3,Barely acceptable,1,20,20,20,20
32,2022-12-12 15:42:13,2022-12-12 15:42:28,valid,higher_quality_v5,ECG_CH1,V5,Excellent,2,ECG_CH1,Excellent,2,ECG_CH3,Barely acceptable,1,21,21,21,21
33,2022-12-12 15:42:28,2022-12-12 15:42:43,valid,higher_quality_v5,ECG_CH1,V5,Excellent,2,ECG_CH1,Excellent,2,ECG_CH3,Barely acceptable,1,21,21,21,21
34,2022-12-12 15:42:43,2022-12-12 15:42:58,valid,higher_quality_v5,ECG_CH1,V5,Excellent,2,ECG_CH1,Excellent,2,ECG_CH3,Barely acceptable,1,21,21,21,21
35,2022-12-12 15:42:58,2022-12-12 15:43:13,valid,higher_quality_v5,ECG_CH1,V5,Excellent,2,ECG_CH1,Excellent,2,ECG_CH3,Barely acceptable,1,22,22,22,22
36,2022-12-12 15:43:13,2022-12-12 15:43:28,valid,higher_quality_v5,ECG_CH1,V5,Excellent,2,ECG_CH1,Excellent,2,ECG_CH3,Barely acceptable,1,21,21,21,21
37,2022-12-12 15:43:28,2022-12-12 15:43:43,valid,higher_quality_v5,ECG_CH1,V5,Excellent,2,ECG_CH1,Excellent,2,ECG_CH3,Barely acceptable,1,22,22,22,22
38,2022-12-12 15:43:43,2022-12-12 15:43:58,valid,higher_quality_v5,ECG_CH1,V5,Excellent,2,ECG_CH1,Excellent,2,ECG_CH3,Barely acceptable,1,23,23,23,23
39,2022-12-12 15:43:58,2022-12-12 15:44:13,valid,higher_quality_v5,ECG_CH1,V5,Excellent,2,ECG_CH1,Excellent,2,ECG_CH3,Barely acceptable,1,21,21,21,21
40,2022-12-12 15:44:13,2022-12-12 15:44:28,valid,higher_quality_v5,ECG_CH1,V5,Excellent,2,ECG_CH1,Excellent,2,ECG_CH3,Barely acceptable,1,22,22,22,22
