lead,window_index,window_start,window_end,duration_seconds,samples,sampling_rate_hz,quality_mean,quality_median,quality_min,quality_max,zhao2018,error
ECG_CH2,0,2022-12-12 15:34:13,2022-12-12 15:34:28,15,3000,200,0.581972,0.738832,0.000000,1.000000,Barely acceptable,
ECG_CH2,1,2022-12-12 15:34:28,2022-12-12 15:34:43,15,3000,200,0.667032,0.672717,0.000000,1.000000,Barely acceptable,
ECG_CH2,2,2022-12-12 15:34:43,2022-12-12 15:34:58,15,3000,200,0.770334,0.869775,0.000000,1.000000,Unacceptable,
ECG_CH2,3,2022-12-12 15:34:58,2022-12-12 15:35:13,15,3000,200,0.651212,0.743856,0.000000,1.000000,Unacceptable,
ECG_CH2,4,2022-12-12 15:35:13,2022-12-12 15:35:28,15,3000,200,0.622362,0.718636,0.000000,1.000000,Barely acceptable,
ECG_CH2,5,2022-12-12 15:35:28,2022-12-12 15:35:43,15,3000,200,0.650873,0.710879,0.000000,1.000000,Barely acceptable,
ECG_CH2,6,2022-12-12 15:35:43,2022-12-12 15:35:58,15,3000,200,0.657773,0.697552,0.000000,1.000000,Barely acceptable,
ECG_CH2,7,2022-12-12 15:35:58,2022-12-12 15:36:13,15,3000,200,0.687487,0.855307,0.000000,1.000000,Barely acceptable,
ECG_CH2,8,2022-12-12 15:36:13,2022-12-12 15:36:28,15,3000,200,0.694607,0.857524,0.000000,1.000000,Barely acceptable,
ECG_CH2,9,2022-12-12 15:36:28,2022-12-12 15:36:43,15,3000,200,0.780406,0.923566,0.000000,1.000000,Barely acceptable,
ECG_CH2,10,2022-12-12 15:36:43,2022-12-12 15:36:58,15,3000,200,0.787216,0.864342,0.000000,1.000000,Barely acceptable,
ECG_CH2,11,2022-12-12 15:36:58,2022-12-12 15:37:13,15,3000,200,0.691270,0.763939,0.000000,1.000000,Unacceptable,
ECG_CH2,12,2022-12-12 15:37:13,2022-12-12 15:37:28,15,3000,200,0.654562,0.766228,0.000000,1.000000,Barely acceptable,
ECG_CH2,13,2022-12-12 15:37:28,2022-12-12 15:37:43,15,3000,200,0.587446,0.636399,0.000000,1.000000,Barely acceptable,
ECG_CH2,14,2022-12-12 15:37:43,2022-12-12 15:37:58,15,3000,200,0.672684,0.672400,0.000000,1.000000,Unacceptable,
ECG_CH2,15,2022-12-12 15:37:58,2022-12-12 15:38:13,15,3000,200,0.750497,0.795962,0.000000,1.000000,Barely acceptable,
ECG_CH2,16,2022-12-12 15:38:13,2022-12-12 15:38:28,15,3000,200,0.656496,0.702979,0.000000,1.000000,Excellent,
