lead,window_index,window_start,window_end,duration_seconds,samples,sampling_rate_hz,quality_mean,quality_median,quality_min,quality_max,zhao2018,error
ECG_CH1,0,2022-12-12 15:34:13,2022-12-12 15:34:28,15,3000,200,0.793354,0.895375,0.000000,1.000000,Barely acceptable,
ECG_CH2,0,2022-12-12 15:34:13,2022-12-12 15:34:28,15,3000,200,0.581972,0.738832,0.000000,1.000000,Barely acceptable,
ECG_CH3,0,2022-12-12 15:34:13,2022-12-12 15:34:28,15,3000,200,,,,,,ZeroDivisionError: integer division or modulo by zero
ECG_CH1,1,2022-12-12 15:34:28,2022-12-12 15:34:43,15,3000,200,0.622722,0.642109,0.000000,1.000000,Excellent,
ECG_CH2,1,2022-12-12 15:34:28,2022-12-12 15:34:43,15,3000,200,0.667032,0.672717,0.000000,1.000000,Barely acceptable,
ECG_CH3,1,2022-12-12 15:34:28,2022-12-12 15:34:43,15,3000,200,0.750155,0.787891,0.000000,1.000000,Barely acceptable,
ECG_CH1,2,2022-12-12 15:34:43,2022-12-12 15:34:58,15,3000,200,0.715902,0.784087,0.000000,1.000000,Excellent,
ECG_CH2,2,2022-12-12 15:34:43,2022-12-12 15:34:58,15,3000,200,0.770334,0.869775,0.000000,1.000000,Unacceptable,
ECG_CH3,2,2022-12-12 15:34:43,2022-12-12 15:34:58,15,3000,200,0.735205,0.813661,0.000000,1.000000,Unacceptable,
ECG_CH1,3,2022-12-12 15:34:58,2022-12-12 15:35:13,15,3000,200,0.645925,0.774754,0.000000,1.000000,Barely acceptable,
ECG_CH2,3,2022-12-12 15:34:58,2022-12-12 15:35:13,15,3000,200,0.651212,0.743856,0.000000,1.000000,Unacceptable,
ECG_CH3,3,2022-12-12 15:34:58,2022-12-12 15:35:13,15,3000,200,0.620618,0.694188,0.000000,1.000000,Unacceptable,
ECG_CH1,4,2022-12-12 15:35:13,2022-12-12 15:35:28,15,3000,200,0.644902,0.600342,0.000000,1.000000,Barely acceptable,
ECG_CH2,4,2022-12-12 15:35:13,2022-12-12 15:35:28,15,3000,200,0.622362,0.718636,0.000000,1.000000,Barely acceptable,
ECG_CH3,4,2022-12-12 15:35:13,2022-12-12 15:35:28,15,3000,200,0.712656,0.763743,0.000000,1.000000,Excellent,
ECG_CH1,5,2022-12-12 15:35:28,2022-12-12 15:35:43,15,3000,200,0.761272,0.862570,0.000000,1.000000,Barely acceptable,
ECG_CH2,5,2022-12-12 15:35:28,2022-12-12 15:35:43,15,3000,200,0.650873,0.710879,0.000000,1.000000,Barely acceptable,
ECG_CH3,5,2022-12-12 15:35:28,2022-12-12 15:35:43,15,3000,200,0.535012,0.594669,0.000000,1.000000,Barely acceptable,
ECG_CH1,6,2022-12-12 15:35:43,2022-12-12 15:35:58,15,3000,200,0.711141,0.716396,0.000000,1.000000,Barely acceptable,
ECG_CH2,6,2022-12-12 15:35:43,2022-12-12 15:35:58,15,3000,200,0.657773,0.697552,0.000000,1.000000,Barely acceptable,
ECG_CH3,6,2022-12-12 15:35:43,2022-12-12 15:35:58,15,3000,200,0.544523,0.490554,0.000000,1.000000,Barely acceptable,
ECG_CH1,7,2022-12-12 15:35:58,2022-12-12 15:36:13,15,3000,200,0.597759,0.729224,0.000000,1.000000,Barely acceptable,
ECG_CH2,7,2022-12-12 15:35:58,2022-12-12 15:36:13,15,3000,200,0.687487,0.855307,0.000000,1.000000,Barely acceptable,
ECG_CH3,7,2022-12-12 15:35:58,2022-12-12 15:36:13,15,3000,200,0.721420,0.908215,0.000000,1.000000,Unacceptable,
ECG_CH1,8,2022-12-12 15:36:13,2022-12-12 15:36:28,15,3000,200,0.604611,0.749363,0.000000,1.000000,Barely acceptable,
ECG_CH2,8,2022-12-12 15:36:13,2022-12-12 15:36:28,15,3000,200,0.694607,0.857524,0.000000,1.000000,Barely acceptable,
ECG_CH3,8,2022-12-12 15:36:13,2022-12-12 15:36:28,15,3000,200,0.734367,0.792699,0.000000,1.000000,Barely acceptable,
ECG_CH1,9,2022-12-12 15:36:28,2022-12-12 15:36:43,15,3000,200,0.766688,0.875686,0.000000,1.000000,Barely acceptable,
ECG_CH2,9,2022-12-12 15:36:28,2022-12-12 15:36:43,15,3000,200,0.780406,0.923566,0.000000,1.000000,Barely acceptable,
ECG_CH3,9,2022-12-12 15:36:28,2022-12-12 15:36:43,15,3000,200,0.582119,0.649282,0.000000,1.000000,Barely acceptable,
ECG_CH1,10,2022-12-12 15:36:43,2022-12-12 15:36:58,15,3000,200,0.742737,0.831994,0.000000,1.000000,Barely acceptable,
ECG_CH2,10,2022-12-12 15:36:43,2022-12-12 15:36:58,15,3000,200,0.787216,0.864342,0.000000,1.000000,Barely acceptable,
ECG_CH3,10,2022-12-12 15:36:43,2022-12-12 15:36:58,15,3000,200,0.747545,0.808169,0.000000,1.000000,Barely acceptable,
ECG_CH1,11,2022-12-12 15:36:58,2022-12-12 15:37:13,15,3000,200,0.596296,0.582806,0.000000,1.000000,Excellent,
ECG_CH2,11,2022-12-12 15:36:58,2022-12-12 15:37:13,15,3000,200,0.691270,0.763939,0.000000,1.000000,Unacceptable,
ECG_CH3,11,2022-12-12 15:36:58,2022-12-12 15:37:13,15,3000,200,0.759096,0.846800,0.000000,1.000000,Barely acceptable,
ECG_CH1,12,2022-12-12 15:37:13,2022-12-12 15:37:28,15,3000,200,0.576916,0.579656,0.000000,1.000000,Barely acceptable,
ECG_CH2,12,2022-12-12 15:37:13,2022-12-12 15:37:28,15,3000,200,0.654562,0.766228,0.000000,1.000000,Barely acceptable,
ECG_CH3,12,2022-12-12 15:37:13,2022-12-12 15:37:28,15,3000,200,0.499029,0.493591,0.000000,1.000000,Barely acceptable,
ECG_CH1,13,2022-12-12 15:37:28,2022-12-12 15:37:43,15,3000,200,0.551479,0.563940,0.000000,1.000000,Excellent,
ECG_CH2,13,2022-12-12 15:37:28,2022-12-12 15:37:43,15,3000,200,0.587446,0.636399,0.000000,1.000000,Barely acceptable,
ECG_CH3,13,2022-12-12 15:37:28,2022-12-12 15:37:43,15,3000,200,0.784917,0.868276,0.000000,1.000000,Unacceptable,
ECG_CH1,14,2022-12-12 15:37:43,2022-12-12 15:37:58,15,3000,200,0.753192,0.825357,0.000000,1.000000,Barely acceptable,
ECG_CH2,14,2022-12-12 15:37:43,2022-12-12 15:37:58,15,3000,200,0.672684,0.672400,0.000000,1.000000,Unacceptable,
ECG_CH3,14,2022-12-12 15:37:43,2022-12-12 15:37:58,15,3000,200,0.563235,0.568865,0.000000,1.000000,Barely acceptable,
ECG_CH1,15,2022-12-12 15:37:58,2022-12-12 15:38:13,15,3000,200,0.621753,0.735793,0.000000,1.000000,Excellent,
ECG_CH2,15,2022-12-12 15:37:58,2022-12-12 15:38:13,15,3000,200,0.750497,0.795962,0.000000,1.000000,Barely acceptable,
ECG_CH3,15,2022-12-12 15:37:58,2022-12-12 15:38:13,15,3000,200,0.763569,0.838328,0.000000,1.000000,Barely acceptable,
ECG_CH1,16,2022-12-12 15:38:13,2022-12-12 15:38:28,15,3000,200,0.496360,0.418615,0.000000,1.000000,Barely acceptable,
