lead,window_index,window_start,window_end,duration_seconds,samples,sampling_rate_hz,quality_mean,quality_median,quality_min,quality_max,zhao2018,error
ECG_CH2,0,2018-04-11 18:45:17,2018-04-11 18:45:32,15,3000,200,0.688677,0.816933,0.000000,1.000000,Barely acceptable,
ECG_CH2,1,2018-04-11 18:45:32,2018-04-11 18:45:47,15,3000,200,0.697113,0.809263,0.000000,1.000000,Barely acceptable,
ECG_CH2,2,2018-04-11 18:45:47,2018-04-11 18:46:02,15,3000,200,0.780255,0.870376,0.000000,1.000000,Barely acceptable,
ECG_CH2,3,2018-04-11 18:46:02,2018-04-11 18:46:17,15,3000,200,0.828042,0.902691,0.000000,1.000000,Barely acceptable,
ECG_CH2,4,2018-04-11 18:46:17,2018-04-11 18:46:32,15,3000,200,0.783959,0.817336,0.000000,1.000000,Barely acceptable,
ECG_CH2,5,2018-04-11 18:46:32,2018-04-11 18:46:47,15,3000,200,0.787227,0.903062,0.000000,1.000000,Barely acceptable,
ECG_CH2,6,2018-04-11 18:46:47,2018-04-11 18:47:02,15,3000,200,0.829606,0.920136,0.000000,1.000000,Unacceptable,
ECG_CH2,7,2018-04-11 18:47:02,2018-04-11 18:47:17,15,3000,200,0.739236,0.832585,0.000000,1.000000,Barely acceptable,
ECG_CH2,8,2018-04-11 18:47:17,2018-04-11 18:47:32,15,3000,200,0.658414,0.805337,0.000000,1.000000,Unacceptable,
ECG_CH2,9,2018-04-11 18:47:32,2018-04-11 18:47:47,15,3000,200,0.550017,0.624461,0.000000,1.000000,Unacceptable,
ECG_CH2,10,2018-04-11 18:47:47,2018-04-11 18:48:02,15,3000,200,0.767992,0.938801,0.000000,1.000000,Barely acceptable,
ECG_CH2,11,2018-04-11 18:48:02,2018-04-11 18:48:17,15,3000,200,0.743347,0.797037,0.000000,1.000000,Barely acceptable,
ECG_CH2,12,2018-04-11 18:48:17,2018-04-11 18:48:32,15,3000,200,0.668475,0.667794,0.000000,1.000000,Barely acceptable,
ECG_CH2,13,2018-04-11 18:48:32,2018-04-11 18:48:47,15,3000,200,0.744313,0.780844,0.000000,1.000000,Barely acceptable,
ECG_CH2,14,2018-04-11 18:48:47,2018-04-11 18:49:02,15,3000,200,0.602589,0.614025,0.000000,1.000000,Barely acceptable,
ECG_CH2,15,2018-04-11 18:49:02,2018-04-11 18:49:17,15,3000,200,0.661833,0.659750,0.000000,1.000000,Barely acceptable,
ECG_CH2,16,2018-04-11 18:49:17,2018-04-11 18:49:32,15,3000,200,0.802148,0.859094,0.000000,1.000000,Unacceptable,
ECG_CH2,17,2018-04-11 18:49:32,2018-04-11 18:49:47,15,3000,200,0.690659,0.738208,0.000000,1.000000,Unacceptable,
ECG_CH2,18,2018-04-11 18:49:47,2018-04-11 18:50:02,15,3000,200,0.671073,0.725593,0.000000,1.000000,Barely acceptable,
ECG_CH2,19,2018-04-11 18:50:02,2018-04-11 18:50:17,15,3000,200,0.587304,0.647972,0.000000,1.000000,Unacceptable,
ECG_CH2,20,2018-04-11 18:50:17,2018-04-11 18:50:32,15,3000,200,0.676159,0.763654,0.000000,1.000000,Barely acceptable,
ECG_CH2,21,2018-04-11 18:50:32,2018-04-11 18:50:47,15,3000,200,0.673520,0.732158,0.000000,1.000000,Barely acceptable,
ECG_CH2,22,2018-04-11 18:50:47,2018-04-11 18:51:02,15,3000,200,0.730057,0.833073,0.000000,1.000000,Barely acceptable,
ECG_CH2,23,2018-04-11 18:51:02,2018-04-11 18:51:17,15,3000,200,0.673782,0.755074,0.000000,1.000000,Unacceptable,
ECG_CH2,24,2018-04-11 18:51:17,2018-04-11 18:51:32,15,3000,200,0.782713,0.887976,0.000000,1.000000,Unacceptable,
ECG_CH2,25,2018-04-11 18:51:32,2018-04-11 18:51:47,15,3000,200,0.849095,0.872863,0.000000,1.000000,Unacceptable,
ECG_CH2,26,2018-04-11 18:51:47,2018-04-11 18:52:02,15,3000,200,0.822776,0.904814,0.000000,1.000000,Unacceptable,
ECG_CH2,27,2018-04-11 18:52:02,2018-04-11 18:52:17,15,3000,200,0.712009,0.859125,0.000000,1.000000,Barely acceptable,
ECG_CH2,28,2018-04-11 18:52:17,2018-04-11 18:52:32,15,3000,200,0.735236,0.794913,0.000000,1.000000,Unacceptable,
ECG_CH2,29,2018-04-11 18:52:32,2018-04-11 18:52:47,15,3000,200,0.843314,0.901842,0.000000,1.000000,Unacceptable,
ECG_CH2,30,2018-04-11 18:52:47,2018-04-11 18:53:02,15,3000,200,0.795975,0.868034,0.000000,1.000000,Unacceptable,
ECG_CH2,31,2018-04-11 18:53:02,2018-04-11 18:53:17,15,3000,200,0.712836,0.789699,0.000000,1.000000,Unacceptable,
ECG_CH2,32,2018-04-11 18:53:17,2018-04-11 18:53:32,15,3000,200,0.717618,0.709328,0.000000,1.000000,Barely acceptable,
ECG_CH2,33,2018-04-11 18:53:32,2018-04-11 18:53:47,15,3000,200,0.732030,0.758292,0.000000,1.000000,Unacceptable,
ECG_CH2,34,2018-04-11 18:53:47,2018-04-11 18:54:02,15,3000,200,0.759320,0.779993,0.000000,1.000000,Unacceptable,
ECG_CH2,35,2018-04-11 18:54:02,2018-04-11 18:54:17,15,3000,200,0.789613,0.887443,0.000000,1.000000,Unacceptable,
ECG_CH2,36,2018-04-11 18:54:17,2018-04-11 18:54:32,15,3000,200,0.854651,0.949843,0.000000,1.000000,Unacceptable,
ECG_CH2,37,2018-04-11 18:54:32,2018-04-11 18:54:47,15,3000,200,0.750094,0.861208,0.000000,1.000000,Unacceptable,
ECG_CH2,38,2018-04-11 18:54:47,2018-04-11 18:55:02,15,3000,200,0.856147,0.951661,0.000000,1.000000,Unacceptable,
ECG_CH2,39,2018-04-11 18:55:02,2018-04-11 18:55:17,15,3000,200,0.713035,0.879584,0.000000,1.000000,Unacceptable,
ECG_CH2,40,2018-04-11 18:55:17,2018-04-11 18:55:32,15,3000,200,0.677281,0.754082,0.000000,1.000000,Barely acceptable,
ECG_CH2,41,2018-04-11 18:55:32,2018-04-11 18:55:47,15,3000,200,0.713740,0.803286,0.000000,1.000000,Barely acceptable,
ECG_CH2,42,2018-04-11 18:55:47,2018-04-11 18:56:02,15,3000,200,0.681408,0.815270,0.000000,1.000000,Barely acceptable,
ECG_CH2,43,2018-04-11 18:56:02,2018-04-11 18:56:17,15,3000,200,0.711643,0.816004,0.000000,1.000000,Barely acceptable,
ECG_CH2,44,2018-04-11 18:56:17,2018-04-11 18:56:32,15,3000,200,0.659118,0.672799,0.000000,1.000000,Barely acceptable,
ECG_CH2,45,2018-04-11 18:56:32,2018-04-11 18:56:47,15,3000,200,0.809105,0.884703,0.000000,1.000000,Barely acceptable,
ECG_CH2,46,2018-04-11 18:56:47,2018-04-11 18:57:02,15,3000,200,0.786660,0.881667,0.000000,1.000000,Barely acceptable,
ECG_CH2,47,2018-04-11 18:57:02,2018-04-11 18:57:17,15,3000,200,0.788461,0.892578,0.000000,1.000000,Barely acceptable,
ECG_CH2,48,2018-04-11 18:57:17,2018-04-11 18:57:32,15,3000,200,0.785018,0.930932,0.000000,1.000000,Unacceptable,
ECG_CH2,49,2018-04-11 18:57:32,2018-04-11 18:57:47,15,3000,200,0.640113,0.646609,0.000000,1.000000,Unacceptable,
ECG_CH2,50,2018-04-11 18:57:47,2018-04-11 18:58:02,15,3000,200,0.863408,0.953429,0.000000,1.000000,Unacceptable,
ECG_CH2,51,2018-04-11 18:58:02,2018-04-11 18:58:17,15,3000,200,0.518180,0.557696,0.000000,1.000000,Barely acceptable,
ECG_CH2,52,2018-04-11 18:58:17,2018-04-11 18:58:32,15,3000,200,0.776477,0.888710,0.000000,1.000000,Unacceptable,
ECG_CH2,53,2018-04-11 18:58:32,2018-04-11 18:58:47,15,3000,200,0.713351,0.851759,0.000000,1.000000,Unacceptable,
ECG_CH2,54,2018-04-11 18:58:47,2018-04-11 18:59:02,15,3000,200,0.562682,0.608899,0.000000,1.000000,Barely acceptable,
ECG_CH2,55,2018-04-11 18:59:02,2018-04-11 18:59:17,15,3000,200,0.665489,0.693310,0.000000,1.000000,Unacceptable,
ECG_CH2,56,2018-04-11 18:59:17,2018-04-11 18:59:32,15,3000,200,0.812035,0.925734,0.000000,1.000000,Excellent,
ECG_CH2,57,2018-04-11 18:59:32,2018-04-11 18:59:47,15,3000,200,0.727036,0.887920,0.000000,1.000000,Unacceptable,
ECG_CH2,58,2018-04-11 18:59:47,2018-04-11 19:00:02,15,3000,200,0.627682,0.631525,0.000000,1.000000,Unacceptable,
ECG_CH2,59,2018-04-11 19:00:02,2018-04-11 19:00:17,15,3000,200,0.789140,0.885417,0.000000,1.000000,Barely acceptable,
ECG_CH2,60,2018-04-11 19:00:17,2018-04-11 19:00:32,15,3000,200,0.548649,0.561932,0.000000,1.000000,Barely acceptable,
ECG_CH2,61,2018-04-11 19:00:32,2018-04-11 19:00:47,15,3000,200,0.833330,0.929832,0.000000,1.000000,Barely acceptable,
ECG_CH2,62,2018-04-11 19:00:47,2018-04-11 19:01:02,15,3000,200,0.718494,0.827437,0.000000,1.000000,Barely acceptable,
ECG_CH2,63,2018-04-11 19:01:02,2018-04-11 19:01:17,15,3000,200,0.671993,0.764534,0.000000,1.000000,Barely acceptable,
ECG_CH2,64,2018-04-11 19:01:17,2018-04-11 19:01:32,15,3000,200,0.675639,0.776954,0.000000,1.000000,Barely acceptable,
ECG_CH2,65,2018-04-11 19:01:32,2018-04-11 19:01:47,15,3000,200,0.682103,0.764082,0.000000,1.000000,Barely acceptable,
ECG_CH2,66,2018-04-11 19:01:47,2018-04-11 19:02:02,15,3000,200,0.823405,0.937963,0.000000,1.000000,Barely acceptable,
ECG_CH2,67,2018-04-11 19:02:02,2018-04-11 19:02:17,15,3000,200,0.766308,0.857592,0.000000,1.000000,Barely acceptable,
ECG_CH2,68,2018-04-11 19:02:17,2018-04-11 19:02:32,15,3000,200,0.704877,0.772191,0.000000,1.000000,Barely acceptable,
ECG_CH2,69,2018-04-11 19:02:32,2018-04-11 19:02:47,15,3000,200,0.678046,0.777261,0.000000,1.000000,Barely acceptable,
ECG_CH2,70,2018-04-11 19:02:47,2018-04-11 19:03:02,15,3000,200,0.591587,0.667528,0.000000,1.000000,Barely acceptable,
ECG_CH2,71,2018-04-11 19:03:02,2018-04-11 19:03:17,15,3000,200,0.763478,0.886300,0.000000,1.000000,Barely acceptable,
ECG_CH2,72,2018-04-11 19:03:17,2018-04-11 19:03:32,15,3000,200,0.656081,0.794567,0.000000,1.000000,Barely acceptable,
ECG_CH2,73,2018-04-11 19:03:32,2018-04-11 19:03:47,15,3000,200,0.792657,0.896782,0.000000,1.000000,Barely acceptable,
ECG_CH2,74,2018-04-11 19:03:47,2018-04-11 19:04:02,15,3000,200,0.632507,0.786121,0.000000,1.000000,Barely acceptable,
ECG_CH2,75,2018-04-11 19:04:02,2018-04-11 19:04:17,15,3000,200,0.501078,0.383608,0.000000,1.000000,Barely acceptable,
ECG_CH2,76,2018-04-11 19:04:17,2018-04-11 19:04:32,15,3000,200,0.630017,0.725807,0.000000,1.000000,Barely acceptable,
ECG_CH2,77,2018-04-11 19:04:32,2018-04-11 19:04:47,15,3000,200,0.721745,0.748602,0.000000,1.000000,Barely acceptable,
ECG_CH2,78,2018-04-11 19:04:47,2018-04-11 19:05:02,15,3000,200,0.567950,0.644100,0.000000,1.000000,Barely acceptable,
